,group
-4860780174872359342,3
-4860630072653787886,10
-4859248610743834087,8
-4858903931008089623,1
-4858009548262441164,2
-4857898677643871530,5
-4856949507734966091,11
-4856569735323857265,6
-4856297076247741465,6
-4854431416502930071,4
-4853561401186144560,6
-4852823313386665332,1
-4852504352055334704,8
-4852023109871842441,3
-4851458618956736073,7
-4849434960114682357,10
-4848479767947347480,10
-4848168024958395594,9
-4847685324485815007,4
-4846724932324540259,0
-4845339526909437808,11
-4844946365893487136,10
-4844707374432497876,7
-4844669575026109928,5
-4843485451100448687,11
-4842986162896484439,6
-4842732417954839779,5
-4842725324341720720,7
-4840425649402259571,9
-4840023369175113393,0
-4838279386248774298,0
-4837800710659847435,2
-4837598387764112907,7
-4837520873809219414,5
-4837437557348002889,10
-4834495082285991563,3
-4833982096941402721,11
-4832423547405148802,10
-4832071499847333987,0
-4831456438458114294,8
-4831242576307723437,7
-4829879356837298323,10
-4828323552934389556,7
-4827887336395062814,10
-4826232443914896975,7
-4826157408100077212,8
-4826068017221527192,10
-4825642407272272068,3
-4825514508914999815,6
-4825343259049919905,3
-4825084625240060868,11
-4824884593512083526,4
-4824384989906510721,9
-4822827851812700433,10
-4817472425357526495,6
-4816452273347427006,4
-4815966759838910186,4
-4815258581385734027,7
-4814793614000680392,7
-4814712038538197683,2
-4813531705081616542,6
-4813079590816793048,6
-4811743845381698232,9
-4811228406734340482,10
-4811185178187491743,11
-4811040136126046085,0
-4810416351708380489,4
-4810052376261096234,9
-4809134861557296317,9
-4809051120705111550,6
-4808377117944147119,11
-4806712636688118202,11
-4806108985875971600,9
-4805998727725388677,10
-4805780228522544405,5
-4804842125627654836,8
-4803185303956479947,8
-4802074847312358804,5
-4801428697828798276,3
-4800465034770649809,10
-4800328381730316386,8
-4799917250304997237,0
-4799664225646414866,4
-4799348086201542910,10
-4799175157258219833,3
-4798783741721714218,0
-4798255458778095949,10
-4797556674555439555,9
-4797101051594515168,5
-4794131795354604085,3
-4793911600717444110,6
-4793899696225122780,10
-4792524214591823924,10
-4790586696011490831,9
-4789904371226537305,3
-4789034841615895101,4
-4786431097787510905,7
-4786029296553339780,2
-4784075844136907912,8
-4782921374264353548,10
-4778087219525011706,6
-4778056629285921031,0
-4776877811827722187,10
-4776629292473446261,4
-4776129637128941168,10
-4775279584778766747,7
-4773515068897867765,5
-4772758781275416509,9
-4772722289599399273,9
-4772472633070854438,8
-4772359937329886359,6
-4771881468336909132,11
-4771593566631993431,4
-4770420629387690359,2
-4768710039466292465,10
-4768646315694767843,10
-4765467850509194431,10
-4764130011865562490,7
-4763782798726247833,10
-4763119251287538213,7
-4762172831995148575,4
-4761866090325810221,11
-4761214047268716165,10
-4760257939216791047,4
-4759981375385957241,5
-4758774712092325857,7
-4757520189109306532,0
-4756353240423548591,0
-4755270419516683635,11
-4754659922240296559,6
-4753554934230295058,2
-4753448753222468892,6
-4753402818697972735,6
-4753186842483828188,0
-4752753154071240335,1
-4752131545623626444,7
-4751116070784066604,4
-4750122441048725602,4
-4750109451401811349,7
-4749904998529499905,9
-4749315061464580460,5
-4749221290383949573,3
-4748734835492911400,3
-4746865371364273910,8
-4746561597367064606,3
-4744281271024978080,9
-4743322679539903094,7
-4743175053812951747,11
-4742922966529396625,5
-4742533883246057110,2
-4740215680721212367,5
-4738803869749725946,7
-4738059975243686290,11
-4735382375325691891,6
-4735248111845817967,11
-4734045176898782786,9
-4732550760639132733,9
-4732012025428246137,0
-4731998355464104850,10
-4730712110768723471,8
-4730530324359681682,0
-4729398568877951581,2
-4728791250076945320,0
-4728026319123171349,1
-4727645799252937706,11
-4727609095154706826,7
-4727083068990589192,0
-4726814622069297714,11
-4726807688801125539,10
-4726686064847605475,9
-4726029810751065202,10
-4725973630306475334,11
-4725074559177795659,11
-4723018722475875349,8
-4722247371667280932,7
-4721537041481084817,2
-4719837492230215621,4
-4719470079128045163,11
-4718471750535805014,9
-4718372873023018960,1
-4718271394168625455,6
-4718206383911906692,2
-4718010582022757541,11
-4717789583973567020,9
-4717640719944830362,8
-4717243995610892160,5
-4717129870577890493,10
-4715930810267189961,3
-4715430503508992845,0
-4713364457395177321,10
-4713356591613805069,7
-4712622947637604051,8
-4710990019666264669,10
-4710775722217668270,9
-4710270223796170433,9
-4709996886439234102,10
-4708551998435283899,9
-4708237388729592375,4
-4708141376347092587,5
-4707653926858695795,6
-4707359984110825897,9
-4705996597881539937,9
-4705364795411462565,7
-4705337756494212561,9
-4703251783129573757,3
-4703046360679142127,9
-4702856771680607231,2
-4702847609036265537,8
-4702755980992599219,4
-4702017799487100663,10
-4701593213443164880,8
-4701283042032161592,11
-4701027398406018407,2
-4700726041992491620,11
-4699693675899542177,9
-4696717825163435386,6
-4696445894929064261,7
-4694709475987672993,6
-4694231482794047022,7
-4693902837136193459,11
-4693072766261258150,9
-4692077156956591429,8
-4691489711764133939,4
-4688441155543183669,0
-4686535720130055254,8
-4685918481857239666,11
-4685482810830080944,10
-4685464282599392606,11
-4684959685093812144,9
-4683504228605418805,6
-4683325731550967019,8
-4683219715367929009,10
-4682361983300438517,1
-4681005752319724600,4
-4680186188114387914,3
-4679343315052291448,11
-4679094617832829680,7
-4678568395484275196,4
-4677981382381307538,3
-4677872201843920097,6
-4677797501125314528,3
-4676358310872805646,5
-4675255191330300693,9
-4675055230763683783,7
-4674153275788975208,1
-4672947726845482270,10
-4672453844471421672,3
-4672315837253350083,0
-4671360790773524918,11
-4670308362694890453,9
-4669883911957358168,3
-4668346570301075873,4
-4668328871865828657,1
-4667940367862975221,7
-4666362332783158804,7
-4664838415777645341,1
-4664097197904771549,11
-4663802409983295899,3
-4663687033917431966,6
-4661568743214494239,2
-4661110317294788178,11
-4660967967664722680,8
-4657252167392051792,7
-4655906437547858948,9
-4655162081410840777,5
-4654786810235622057,3
-4654149902400721577,3
-4653403399763614649,9
-4652970834432269292,6
-4651631348534599903,1
-4651205881778659841,7
-4650863788706326790,10
-4650276058116481666,10
-4650158875464502134,3
-4649225570879033139,11
-4647756875491408522,8
-4646647349406879257,6
-4644930718124342424,4
-4643045351783302820,10
-4642346359787978880,7
-4642053318048306136,6
-4641607270990134510,4
-4640787266410860243,9
-4640675583647331235,2
-4639000614843614960,0
-4634024632691914350,6
-4632198876385464841,6
-4629755309232388560,11
-4628466664301546187,4
-4627180891980751042,4
-4625996608584063920,11
-4624417701467856142,7
-4623476606620568629,5
-4623442932099355793,7
-4622664430716537031,9
-4621828980673687768,10
-4621061889707093040,8
-4620888029660244736,2
-4620629590447848569,7
-4618255244146280228,9
-4618160502671930008,4
-4617588182447463312,6
-4617142183661603797,11
-4616237760904506809,3
-4615960782047301023,1
-4615462544219539313,7
-4614986356867096824,10
-4614770054649970764,1
-4614291957563795962,9
-4614108281368892497,11
-4612405206461836123,11
-4610932506588718577,10
-4610447456481021217,11
-4608837671295138304,8
-4608671643837227243,4
-4608429261326682161,11
-4607662570247520992,6
-4607448534527339000,7
-4606726411780120113,3
-4606225466434004599,9
-4605683953841074651,6
-4603619962126488895,11
-4600768613323198047,2
-4600050510318891110,11
-4598979289766011967,11
-4598583571021230876,5
-4597668121347948216,4
-4597363516872647644,1
-4597086743802200328,4
-4595869407674601834,4
-4595209189583609103,10
-4593778248051748052,1
-4593454329603643930,8
-4593082648983567295,7
-4592966160657527638,7
-4592630369548565048,6
-4590430272962707071,6
-4590336939281691156,11
-4588457187941838564,4
-4587303229101885441,5
-4586603689488223391,11
-4586235261743447602,10
-4585267683546732644,3
-4585149803129932062,10
-4584610167634991041,10
-4582571963008606802,10
-4582083817314768185,7
-4580846346771082281,9
-4580447693249392769,4
-4578192761945228753,11
-4577091228283408943,4
-4574259979325146740,7
-4574257825874466359,2
-4573619340260630351,4
-4571647831854658005,10
-4568155590243160806,7
-4567986378871899240,6
-4567100026049178382,6
-4566950095914860355,11
-4565986173836294904,10
-4565870115817372845,4
-4565830864649659009,11
-4562868606216655042,7
-4559924861250620421,4
-4557803296121562112,3
-4557016487083992803,10
-4556722866242100546,9
-4556680690105063633,11
-4556607041569339223,11
-4555452203851131217,7
-4555379606242944336,11
-4554171140873431791,9
-4551801816150007938,3
-4551768034596689389,11
-4549554094466441771,10
-4548680328900557879,3
-4548644751042301940,7
-4546638171854637219,5
-4545034315242500359,10
-4543515166884146720,9
-4543128804627068980,0
-4543117867537584700,6
-4542098368832946906,4
-4541865956940452943,11
-4541671429804041314,0
-4540135933903323947,9
-4539574543957825707,11
-4539360858645909435,6
-4539184710536963790,9
-4538458619676075929,6
-4538300910206157339,4
-4537490592774556925,10
-4537233125614571555,9
-4536774075819339664,11
-4536305225234222767,10
-4535956730699532806,4
-4535258366847374455,6
-4535161336739893213,11
-4534243566885305193,11
-4534108826436037704,7
-4533765300527195404,6
-4532341124204303610,9
-4530756582661962832,7
-4530637093181521666,9
-4530485125510357303,10
-4530347643498611187,2
-4529698144782223760,0
-4529381233758347134,11
-4528235861242248535,8
-4528178586414867892,10
-4527800582527959295,4
-4525900052180696346,10
-4524877080598539370,1
-4524002516584171552,9
-4522805000683106568,6
-4522266014252831879,8
-4522240755638242153,10
-4522235707440300289,5
-4521674143941410384,11
-4521576787393831015,4
-4518863619280171392,6
-4517191009435907959,4
-4515062558312922713,11
-4514107940404086291,6
-4513520298012073519,7
-4512513455938934784,0
-4511872124036816665,4
-4511849953188218120,0
-4511782420046881713,7
-4511587949817031448,3
-4511264569552658843,4
-4508801349939229798,11
-4508276936738550549,6
-4506232699286477399,5
-4504769644116095928,1
-4504677180960779395,11
-4504408780759680717,11
-4503255835717295652,10
-4501596912299353860,8
-4500861638138300515,10
-4500724277480111178,7
-4499761455421734654,3
-4498499266114921640,4
-4498445842577775035,2
-4496988478437267962,8
-4496974141522216804,10
-4496605291612762373,4
-4494075392375804190,11
-4494028672860321345,5
-4493824463044796818,3
-4493587791324701162,2
-4492565992812970820,5
-4491546712580034578,6
-4490908833166155145,4
-4490621744705519753,2
-4489753707294128246,0
-4486985811197200038,5
-4486982638449056645,11
-4486267280836118457,0
-4485781454523959456,8
-4485695306865889741,6
-4485657754400369922,7
-4485334268072778770,11
-4483258470894206861,7
-4483235488687461351,5
-4483163591178612222,11
-4482393062632065514,9
-4482334208037383885,7
-4481640145712650043,9
-4481464424185116602,9
-4481137610089852598,3
-4479500847977668879,4
-4479379906801594554,3
-4478361701184790877,11
-4477302207010673866,0
-4477156879511906624,6
-4476053586207357597,3
-4475493997624570374,9
-4473864161650586384,11
-4472536624863174455,10
-4472127779553181921,9
-4470964518346740820,8
-4469760125838724227,7
-4469569235659694873,0
-4469097678983896278,0
-4468306857173466838,6
-4467758199668222052,10
-4467339286342432044,9
-4467027917391249326,3
-4466943350529864849,6
-4464303414479061179,6
-4463604636348470951,9
-4463111667230426680,11
-4462949239456847644,4
-4462674503551735114,0
-4462518076877902025,3
-4462344039715359180,7
-4458500206406094247,11
-4457934313456075144,1
-4457016750917245005,5
-4456753392103824604,7
-4456620198116827018,9
-4455587105954727675,8
-4455348894589508754,9
-4454981814751076479,6
-4453563395226165205,10
-4453111465735657698,11
-4451723804952188743,6
-4450470014089953779,1
-4449937638303316446,5
-4449810920240236882,6
-4448607477018810963,10
-4447768106423186573,3
-4447701656765716076,3
-4447444715386760732,5
-4447035561880324221,10
-4445592376202630135,7
-4444670464865450280,11
-4443862036100897570,4
-4442019291911240531,10
-4441830880846779296,9
-4441641196673720450,6
-4440980440635032960,7
-4440792228665187166,11
-4439757691354053204,10
-4439664849752010192,4
-4437469827953911609,11
-4434742026584890898,7
-4434226226273393272,10
-4433963548572381715,6
-4433358124435913405,6
-4431451414372900339,11
-4430512930955635482,11
-4426678527008663703,1
-4425826107853379356,9
-4425428039554774634,11
-4424749397795054373,2
-4424632656786586870,6
-4424595862843011145,8
-4424270406171991571,2
-4424242209195293373,6
-4424182529634775586,1
-4424174220069047252,11
-4423771370676989472,8
-4422912269739504834,9
-4422755119841837055,11
-4422342567308107522,3
-4421960485625730339,1
-4421262663873577526,1
-4416669918937208823,8
-4415820920407594975,9
-4415775582340430265,0
-4415452693190670681,10
-4413751841574578796,7
-4413205028245201795,10
-4412430760781595923,3
-4412114679647692820,7
-4412035300736972814,7
-4411707724880317725,9
-4411465808772765660,10
-4408824115340787812,1
-4407326218413569255,5
-4406857809054645552,11
-4406254123282296971,10
-4403649043827561113,2
-4401622178920791922,7
-4401453244919922736,10
-4401130832185674862,6
-4401019156097795531,7
-4400768933877114012,9
-4399584730289786142,10
-4399565922114299953,10
-4399430572105934286,5
-4398698647358021096,0
-4398099527027745619,9
-4396394807295828790,5
-4395172045252153398,1
-4394088304421106824,7
-4393017462954157430,2
-4392728410235717110,8
-4391139938511422082,4
-4391109106250679158,5
-4390544960019146605,7
-4389576883059925047,8
-4389249966407664783,10
-4388628281936737443,0
-4388175934754969621,10
-4387700169226549461,4
-4387202030532186760,9
-4386908360803645802,0
-4386678816045903364,2
-4385967426454493551,10
-4385535653720318619,6
-4384905434159083605,2
-4384055656840357118,0
-4383365898722247667,10
-4381271413043182787,6
-4380211191451002023,0
-4379084594063634165,10
-4377558098444403655,9
-4377370727522212759,6
-4375297619093279003,8
-4374383792374686569,10
-4373718056294585202,6
-4371161782578468366,4
-4369293017845881895,6
-4369011540642820682,9
-4368580467267019652,5
-4364911773441716170,10
-4363926711751164652,8
-4362788485992238569,7
-4362536628350882710,10
-4360918506627227052,6
-4359561363928089442,10
-4359464071258117936,1
-4359455111936234015,1
-4359019044606258375,0
-4358991278316148812,10
-4358735209135965008,6
-4357379003402883041,6
-4356418742953991167,11
-4355882595072665631,7
-4355712257338427582,4
-4355593823021910632,4
-4355283644197980313,10
-4355245869041197971,6
-4353944465286376158,9
-4352527913155678471,6
-4352089428281357293,8
-4351890519068872481,11
-4351459549975803692,3
-4351397863342451881,8
-4350927321402441791,10
-4349078654292549591,3
-4348131686042095189,3
-4348038916147249461,2
-4345383793000780375,10
-4345138647760299285,11
-4345071462122713940,7
-4344015320571640486,7
-4343277377568081738,11
-4343219188705093093,9
-4342627226121578544,11
-4341957700623419913,6
-4341631806435080110,10
-4339794857808426481,11
-4339346913008093487,5
-4337639420116252208,4
-4336525427500395751,10
-4335750517923599533,6
-4335198806976715968,8
-4334344903191055240,9
-4333565595438846358,0
-4333305832080980906,4
-4331780441902964302,6
-4329866612899690953,7
-4329736570473540983,0
-4328596929456805615,7
-4328550926762228464,10
-4328523299637802512,4
-4328288635590377732,7
-4326070711660054841,7
-4322972787647067107,9
-4322460497695537785,7
-4322456299951890198,10
-4321426876535242468,11
-4320214471004502704,0
-4319582673262384500,9
-4319256456936574806,2
-4318694753402497531,9
-4317917382971867123,10
-4317838615341179786,10
-4317577182834587902,6
-4317267241662026794,4
-4316469531845299596,7
-4316181811910217163,7
-4315155399452815203,5
-4314847752104530110,10
-4313147977912931719,3
-4311829500343436083,6
-4310889609462155925,1
-4309701927435010497,9
-4307993308323975261,8
-4307868106026280133,5
-4307824522183236458,11
-4306589217143474300,8
-4306469904643558646,11
-4306146018504031251,11
-4306091137622520939,10
-4305705624137428549,7
-4303589873973511337,9
-4303578141242197861,10
-4302834969737407266,9
-4301846340253741768,9
-4301088648599712611,7
-4300710711654345005,10
-4300268566134810695,11
-4299868781571945131,7
-4298823463622119089,0
-4298458872759969062,8
-4298140962726895008,6
-4297959145812123061,7
-4297672835896063324,2
-4296584415415502143,2
-4295600645974110936,6
-4294120270776340139,7
-4291448347937765096,10
-4291345135413844268,11
-4289842659047325597,11
-4289601505860315362,11
-4289225684430955651,2
-4286635203801046352,10
-4286463824986881405,10
-4286299025868098413,8
-4285829413333788647,7
-4285268797926667115,7
-4284671669081867847,9
-4284255868786606033,9
-4283416240696514511,11
-4281812744269137057,11
-4281460764032519165,8
-4281256667394016451,3
-4281236498619622684,10
-4280898478085704307,11
-4280733390171719247,9
-4279990494012217664,6
-4278500971999977026,11
-4274681538107771662,11
-4274150578783667750,9
-4273878713451722819,7
-4273746860044367715,11
-4273312309710803720,7
-4272899910715043978,10
-4272863961633291255,7
-4272596267123315567,5
-4271747920777789627,4
-4271020192354779571,9
-4270185495619582759,4
-4269745685335719342,4
-4268584268316454924,5
-4268572100894615907,6
-4266090691476520388,4
-4265938889563393694,5
-4265711424811224925,0
-4265643042635073565,0
-4265327920039385000,1
-4265214970607718247,11
-4265034020759931235,8
-4263256180685699637,8
-4262757933958115188,10
-4262058469698113718,10
-4259554232128882348,10
-4258363028694097328,9
-4255166063610411312,7
-4254657043579272389,7
-4254617400698697474,10
-4254612260635864733,9
-4254178857794386932,9
-4253834517372805338,10
-4252496034627280903,11
-4252045183987856790,4
-4251696637020404937,5
-4251293046563314060,1
-4249965534414185053,5
-4249929128118593776,10
-4249730817131991662,6
-4249605491625929562,6
-4249391791912170766,4
-4249324725521636503,5
-4248968747311765340,6
-4248738603898077147,8
-4248022345516812153,10
-4246572900250826802,0
-4246265802260371822,6
-4246150176423803603,10
-4244423238690086087,11
-4243243459286667648,2
-4242764202326443463,2
-4241957487095659275,7
-4241724080376372148,8
-4241497807051675701,10
-4240989187082413317,7
-4240694579161558386,4
-4238328008839362058,9
-4237433874105427916,3
-4236104414253868024,11
-4233597301188225166,0
-4233303431379823392,6
-4229815843211107303,11
-4228760668183547802,5
-4228236775169450336,11
-4227782230604335142,5
-4226658914343299383,6
-4226586775136713391,10
-4225865038579907558,11
-4224073655333096695,10
-4223677368067848806,7
-4223310302205574253,9
-4222758153142225328,10
-4220900432334669799,9
-4220083314232186143,10
-4219542060972194886,8
-4219512132585658817,1
-4217612736709795779,10
-4217224103798536758,11
-4216620375636328110,8
-4216095037841974805,7
-4215964873844711303,11
-4214995250784832080,11
-4214909030903832603,11
-4214774453530863303,6
-4213856289575796683,5
-4212854704883642594,11
-4212387623204079919,5
-4210243097462722680,8
-4209977284134521185,10
-4209266009442113099,1
-4207480781658017043,7
-4204940379730245265,4
-4204647240137293949,11
-4203522642138379022,4
-4201959517454513680,10
-4201737705090897083,8
-4201598495877605019,6
-4201515614481953056,11
-4200806994808700128,11
-4200223471621668235,11
-4199904260606774968,7
-4199010834745130298,2
-4198585308778054407,2
-4198324679333767228,3
-4198044223027373079,6
-4197508427180004388,11
-4196797306693797116,6
-4196451372375895416,2
-4195913120258095280,7
-4195897442769566520,7
-4195440795537959638,11
-4194527338207468728,10
-4192171775033570596,9
-4191215166832913699,8
-4191086155502434720,2
-4189611703507660629,0
-4187046881973038474,7
-4186476953649241028,9
-4185888765647019981,8
-4185736158295349895,11
-4184494694446528314,4
-4183690918566677689,10
-4182285642902432720,7
-4180508628160572053,7
-4179095253163569977,8
-4177916640896505228,8
-4177534293377696004,7
-4174134005898511618,10
-4174039526803611611,11
-4173749691881745239,5
-4173587494132426165,6
-4173396340103897046,9
-4172404290623287151,0
-4171727060239222104,0
-4171045891125629444,10
-4169487741296566174,11
-4168936252756718114,2
-4162596013923373604,0
-4161969824995413406,4
-4161937508714078839,6
-4161933853287683564,7
-4161714638987122898,7
-4161446741643788558,8
-4160865482250328103,3
-4159821090967635285,6
-4159743336527887741,2
-4159560526723406355,9
-4158497476181328932,11
-4157250449215945580,4
-4156520368549772455,1
-4154911243861405070,11
-4154491260822770863,0
-4153865198013987891,11
-4153314932639395111,4
-4152200952691509801,8
-4152098063175682804,9
-4152067323914613923,11
-4151647276055458339,11
-4151559200350073380,0
-4149521902036222926,1
-4147486335247724409,11
-4146873151212446592,6
-4146141518375530183,5
-4144994270912309656,2
-4143708920129227407,11
-4142301196234853798,7
-4140376252904958537,0
-4139236621393256706,6
-4138487589360416950,5
-4138305348451528402,11
-4137663100512756106,5
-4137417573903837639,8
-4135110660583289528,7
-4134316162289054775,9
-4133216564265374770,10
-4132411520002371646,4
-4131587232424109754,6
-4131202054392394971,10
-4130409285447120215,5
-4130278605256876004,9
-4129848059015763373,7
-4129663858133412043,11
-4128721205481653269,2
-4127849064235536505,10
-4127708163821291971,7
-4126859819010112876,10
-4124097711429556583,4
-4122869056174367261,9
-4122762198887176837,11
-4122706387467773815,5
-4122481764406345378,1
-4121790286071449368,0
-4119971072527286066,10
-4119382395654286255,5
-4119191226942918478,1
-4118630072511868895,3
-4118541741983820572,0
-4118418082338791025,11
-4117818534675517502,5
-4117562947570724410,10
-4117161745200926771,9
-4116922932798393921,6
-4116919100237442729,9
-4116918406080856290,0
-4114805884971800556,8
-4114587537539224536,10
-4114444141341315088,10
-4114378901988743893,1
-4112232156389836162,11
-4112140750536383795,10
-4111870777312434019,0
-4111718061946643069,7
-4111530881269415909,5
-4110371130681441871,1
-4110209335899185850,6
-4109726361952104735,7
-4108226266649839376,3
-4107828411539429670,2
-4106131174842150120,5
-4104373998378913838,5
-4101989089539882730,2
-4101523564414148692,2
-4101513748683839278,4
-4101355960294348876,7
-4101005891067015900,3
-4100983455355424393,10
-4100678410207151647,10
-4100601935100144456,6
-4100312888706892834,7
-4098469293642573550,1
-4095908829864403944,10
-4091604275124842842,10
-4091395506589374235,10
-4090496792104007879,9
-4088141870558743578,6
-4087989689373178599,2
-4086046816249951978,2
-4085585688631988883,8
-4085518330530454940,7
-4085252424069330103,0
-4084613178005927095,9
-4083504473826557476,3
-4082794091714353146,9
-4082629959312562515,11
-4081484591397971491,10
-4081210030916258866,11
-4079548562502400151,7
-4078189642530775746,7
-4077858706134722276,7
-4077594805893705649,1
-4076639945359459144,10
-4076202692112024641,9
-4075415980093875746,9
-4075403467887576570,6
-4075040547557324849,10
-4073124791580878623,6
-4072740957196459571,8
-4072338791213367477,8
-4071592069280902923,10
-4071460957162948519,2
-4071399960784030478,1
-4070163303809595455,7
-4066014572686103809,4
-4064476775004611737,9
-4063456788273357380,0
-4063135739155264250,9
-4062702274957440050,7
-4062024631275134310,0
-4061991686426232905,10
-4061243865040857034,10
-4060548257186107570,11
-4060507092182884311,8
-4059965059153420643,11
-4059516408373881964,7
-4058730093041674601,6
-4058526416867992377,6
-4057838755148680625,8
-4056704526728159360,9
-4056308705172783475,11
-4055734872274442413,2
-4055178695599412319,10
-4055119319909257886,8
-4054772294974804951,11
-4053975057290419427,7
-4053865905553380751,7
-4051941964824621804,5
-4051268072190288384,1
-4050972029321585116,11
-4050287107210099600,4
-4048401727562095983,9
-4048375616528197515,7
-4047864290833880630,11
-4047744682360369336,4
-4047091239451547677,10
-4046875922021559661,10
-4046875198563798715,7
-4046858702244668656,1
-4046477206280925090,5
-4046386007116887783,1
-4045567105698326033,6
-4043912817414275241,4
-4042474604219782792,4
-4042345176328021381,10
-4042244989728390587,9
-4042003612077960967,8
-4041764031640705674,3
-4041551272621569577,8
-4039221310644937391,7
-4036056715739448833,5
-4035272141213950025,10
-4035054705236820771,11
-4034702357663854451,2
-4032911390089743475,7
-4032526585895719119,5
-4032168449300197894,5
-4032015837255151450,7
-4031007917369966753,10
-4026362193953313615,2
-4024045431329091756,11
-4021858168813690343,11
-4021723247232958649,3
-4021540778306782074,4
-4021344561937963359,10
-4020514535724422878,10
-4020119694234750642,9
-4020080187029341342,8
-4019578963296077083,0
-4017903103489532354,9
-4015640741509103892,0
-4015463347007701710,3
-4015457412660767681,5
-4014281352054485792,7
-4013946241124856498,4
-4013651731994818504,8
-4013259268737418508,9
-4011352440630811162,2
-4010955138108722742,10
-4010830530270819162,11
-4009646302939623624,9
-4009519768518592018,0
-4008589032664898880,11
-4006410697227969108,4
-4004950237845512213,10
-4004712348373715323,1
-4003943021993770603,11
-4003312670277294272,11
-4002973171995538258,2
-4000376512733951404,3
-4000139047806956015,9
-3999592527798565538,7
-3998715581570083926,7
-3997859375902173527,8
-3996826484913103501,10
-3996718602861993582,3
-3995235255475604691,11
-3994898127003853876,10
-3994292212856085028,3
-3992437806233192141,7
-3992415983799975340,10
-3991278281713999725,7
-3989858083069873061,0
-3989656483103137467,3
-3988155579919009074,7
-3987810634763973707,10
-3987360805148401026,9
-3985269483114794873,11
-3982377965815206831,5
-3981360714636537898,1
-3980829182707261176,9
-3980350758389591449,6
-3978937535033351060,9
-3978466049782348588,10
-3977545686144602756,3
-3976063465876885598,9
-3975519100276126675,6
-3974788062025040634,0
-3974472322773636836,6
-3972945825267577635,1
-3972425754294456045,4
-3972181890213560283,7
-3970322997494690944,2
-3969710039501267034,6
-3968659931554374261,11
-3968498668112416067,3
-3968310314111341638,10
-3968178688941225687,5
-3965519673483992823,11
-3964419412192197704,8
-3963482198447444323,6
-3962960951069949220,5
-3961660773980591913,9
-3961163535907820015,11
-3960650788012440750,3
-3956981914711727985,0
-3955233697777634397,11
-3954633092963553308,0
-3954276785297360415,2
-3953833420528784780,3
-3953203348909211677,6
-3952903459328983988,11
-3951999537889884158,5
-3951011772561888238,11
-3950380121994356121,7
-3949730652337986381,7
-3949200519682297262,10
-3947249311887251042,4
-3947154969460631263,5
-3946079316942564689,6
-3945535180891216049,7
-3944821793957946562,1
-3944041001495863450,6
-3941759424988842244,7
-3941643549497904116,3
-3941293307923042517,6
-3940469684634963338,8
-3939506207496556218,7
-3939079250591936936,3
-3937012891903048847,5
-3936698664503890448,10
-3936496059614920063,0
-3935944802601028578,3
-3935886118431117632,2
-3935882187079895714,7
-3935773095376428456,4
-3935652271925844106,10
-3935230796392213829,8
-3934793546951009704,4
-3934314608576449012,10
-3933377045949363462,0
-3932093681323926404,6
-3930020914536201582,11
-3929797575603020032,4
-3929184202632074663,8
-3927963823273455859,11
-3927834373422409199,7
-3927123281582017048,5
-3927041926108604945,4
-3926891330680269782,5
-3926889854176079028,6
-3926780516486003005,10
-3926633347464052424,4
-3926253012417840160,11
-3925704457258524692,5
-3925678886511322235,4
-3925034777747115412,6
-3924793579048328759,11
-3922898159287968587,4
-3921818653988105025,8
-3920836570910569221,10
-3920756211045815521,2
-3919015502190477094,7
-3918456107891096933,10
-3918314945999140899,11
-3917936049909906447,10
-3917642052469991051,10
-3915804622733349802,11
-3915312883680253761,11
-3914293865473463796,0
-3913725941638402514,5
-3913190855501863827,9
-3912875074930868176,10
-3911664575599195882,9
-3911293973344461010,7
-3910947054781314708,8
-3910534718412334358,3
-3910153847440045766,8
-3910055107082655949,6
-3909074704513654898,2
-3908618666907715615,9
-3907866362418935856,1
-3907798047502045531,9
-3907033979852235894,1
-3906289083390488814,10
-3905357289784552723,4
-3905069766770356771,11
-3904521062989401497,6
-3903059712853419884,5
-3902581507167045244,4
-3901894988830598057,11
-3901622911833609021,5
-3900396657282821690,9
-3900103870908358048,9
-3898821625990068072,8
-3898813299743934211,7
-3898316522633267665,11
-3898057696541783320,11
-3897361151562671308,10
-3896887780670956966,4
-3895427999595031900,4
-3894966762341794920,8
-3894249085308041017,10
-3893236520525350172,10
-3893109728507119856,9
-3892985123358953510,9
-3889403676194851495,9
-3888388460430259401,11
-3888049516827305300,9
-3887952842073188037,5
-3887121608870849634,9
-3886105423963330262,1
-3884370449949515153,7
-3881609415504505046,10
-3880340958332435213,5
-3879827730546638965,6
-3877556570219892962,7
-3876295500890409220,5
-3875907942493452740,6
-3875546830583372648,7
-3875337984987417959,0
-3874693587061765348,11
-3873169361824308228,3
-3871176191677667207,3
-3870810214595133710,5
-3870194125767334877,3
-3870078108521735277,6
-3869719222309147044,9
-3869624086906016929,8
-3869490872111962612,10
-3869400343994499140,3
-3868905504237256917,8
-3867137701681847052,9
-3866584776969194341,7
-3865958150476376188,11
-3865225715200002972,7
-3864961701196257326,4
-3864383642511775436,0
-3863942188258097785,8
-3863812152297937198,10
-3863112879779387686,2
-3862898769608911830,10
-3862636087455299167,1
-3862322816792678302,5
-3862259065364330320,10
-3858918960199627997,3
-3858053764753201017,0
-3857521025484537662,9
-3857410204003273546,8
-3856099721241843282,10
-3852707061206208308,10
-3851881275615288245,7
-3848801623075167713,4
-3848283114999468888,7
-3848105495725128477,0
-3848068139010207953,1
-3847771618100959048,4
